game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
ظرفیتی the lord of the rings return to moria,220000,2656000,2060000,0,0
ظرفیتی the order 1886 ps4 و,0,1282000,1713000,0,0
ظرفیتی the outlast trials ps4 و,0,3000000,220000,0,0
ظرفیتی the precinct,0,3046000,1923000,0,0
ظرفیتی the quarry ps4 و,240000,2543000,220000,0,0
ظرفیتی the talos principle 2,0,3519000,2481000,0,0
ظرفیتی the texas chain saw massacre ps4 و,190000,1600000,250000,0,0
ظرفیتی tiny tina's wonderlands ps4 و,0,5150000,220000,0,0
ظرفیتی tom clancy's ghost recon breakpoint ps4 و,0,606000,190000,0,0
ظرفیتی tom clancys ghost recon wildlands ps4 و,190000,915000,190000,0,0
ظرفیتی tomb raider definitive survivor trilogy ps4 و,0,3438000,2772000,0,0
ظرفیتی tomb raider i-iii remastered ps4 و,698000,3014000,792000,0,0
ظرفیتی tony hawks pro skater 3 + 4,0,2380000,2980000,0,0
ظرفیتی topspin 2k25 ps4 و,0,4088000,390000,0,0
ظرفیتی train sim world 5 ps4 و,0,2680000,4148000,0,0
ظرفیتی trek to yomi ps4 و,0,2726000,150000,0,0
ظرفیتی ufc 4 ps4 و,0,3850000,220000,0,0
ظرفیتی ufc 5,0,3960000,390000,0,0
ظرفیتی uncharted legacy of thieves collection,0,5045000,220000,0,0
ظرفیتی undisputed,0,6536000,5045000,0,0
ظرفیتی unknown 9 awakening,0,5910000,3850000,0,0
ظرفیتی unravel two ps4 و,150000,970000,596000,0,0
ظرفیتی until dawn,0,2390000,1890000,0,0
ظرفیتی valiant hearts coming home ps4 و,220000,1823000,220000,0,0
"ظرفیتی warhammer 40,000 space marine 2 ps4 و",0,0,5910000,0,0
ظرفیتی watch dogs 2 ps4 و,290000,1788000,250000,0,0
ظرفیتی watch dogs ps4 و,198000,1463000,250000,0,0
ظرفیتی welcome to paradize ps4 و,762000,4094000,698000,0,0
ظرفیتی wild hearts ps4 و,0,7600000,4490000,0,0
ظرفیتی wobbly life ps4 و,200000,1760000,190000,0,0
ظرفیتی worms w.m.d ps4 و,0,1122000,948000,0,0
ظرفیتی wuchang fallen feathers,0,3960000,2780000,0,0
ظرفیتی wwe 2k22 ps4 و,0,5030000,220000,0,0
ظرفیتی wwe 2k24 ps4 و,0,2924000,290000,0,0
ظرفیتی wwe 2k25 ps4 و,0,2980000,4580000,0,0
ظرفیتی تیکن tekken 8 ps4 و,0,6800000,390000,0,0
